beruf,titel,refnr,arbeitsort,lat,lon,arbeitgeber,veroeffentlichungsdatum,eintrittsdatum
Kaufmann/-frau - Digitalisierungsmanagement,Ausbildung bei Netto 2025 - Praktikum möglich,10000-1200187264-S,"Mittelrheinstr. 36, 67550 Worms, Rheinland-Pfalz",49.6941808,8.3470191,Netto Marken-Discount Stiftung & Co. KG,2025-02-18,2025-08-01
Digital-Analyst/in,Network Operations Manager/in (m/w/d),15555-YZFHKHC5OFWLCD7V-S,"Unknown, 12555 Berlin, Berlin",52.459411384529545,13.577890797903793,Time Tec Personalservice GmbH,2025-02-18,2025-02-18
Informatiker/in,SAP ABAP-Developer - bundesweiter Einsatz im Homeoffice möglich,10001-1001065088-S,"Unknown, 00000 Berlin, Berlin",52.492683225000064,13.402575263000074,Rohde & Partner,2025-02-18,2025-03-15
Fachinformatiker/in - Systemintegration,Fachinformatiker (m/w/d),14225-5c41b984f0bed8b6-S,"Fehrbelliner Platz 3, 10707 Berlin, Berlin",52.489667,13.3147195,ALDB GmbH,2025-02-18,2025-02-18
Fachinformatiker/in - Systemintegration,Fachinformatiker (m/w/d),14225-f498e53014e0bc98-S,"Fehrbelliner Platz 3, 10707 Berlin, Berlin",52.489667,13.3147195,ALDB GmbH,2025-02-18,2025-02-18
Informatiker/in,Informatiker (m/w/d),14225-977f6053c62863fa-S,"Fehrbelliner Platz 3, 10707 Berlin, Berlin",52.489667,13.3147195,ALDB GmbH,2025-02-18,2025-02-18
Informatiker/in,Informatiker (m/w/d),14225-deb674ed44ea4194-S,"Fehrbelliner Platz 3, 10707 Berlin, Berlin",52.489667,13.3147195,ALDB GmbH,2025-02-18,2025-02-18
SPS-Fachkraft,SPS-Programmierer (m/w/d),10001-1000858117-S,"Nordendstr. 20, 89335 Ichenhausen, Bayern",48.3756179,10.3074095,IWS GmbH,2025-02-18,2025-02-18
Informatiker/in,"Softwareentwickler/in, Web-Developer/in o.ä. (w/m/d)",10001-1001158372-S,"Sachsendamm 61, 10829 Berlin, Berlin",52.4750334,13.3614089,DLR Projektträger,2025-02-18,2025-04-01
Fachinformatiker/in - Systemintegration,Ausbildung zum Fachinformatiker Systemintegration (m/w/d),10000-1201650457-S,"Londonstr. 15, 97424 Schweinfurt, Bayern",50.0189771,10.2226708,netlands edv consulting GmbH,2025-02-18,2025-09-01
Wirtschaftsinformatiker/in (Fachschule)/B. Prof. Wirtsch.,Digitalisierungsmanager*in (d/m/w),10000-1201653484-S,"Am Heuhafen 2, 25491 Hetlingen, Schleswig-Holstein",53.6007598,9.6259197,Abwasser-Zweckverband Südholstein,2025-02-18,2025-02-18
Informatiker/in,IT - Administrator (m/w/d),10001-1001158327-S,"Bahnhofplatz 2, 97070 Würzburg, Bayern",49.8016399,9.93383,Modell Integrations Gesellschaft mbH,2025-02-18,2025-02-18
Informatiker/in,Software Entwickler (m/w/d) Java,10001-1000969047-S,"Rohde-und-Schwarz-Str. 1, 87700 Memmingen, Bayern",47.9754071,10.1922522,Rohde & Schwarz Messgerätebau GmbH,2025-02-18,2025-02-18
Informatiker/in,KI-Manager und Verantwortliche/n für Automatisierung (m/w/d),10001-1001158288-S,"Riesaer Str. 7h, 01129 Dresden, Sachsen",51.0837148,13.7239804,Staatsbetrieb Sächsisches Immobilien- und Baumanagement Zentrale,2025-02-18,2025-03-13
Fachinformatiker/in - Systemintegration,Ausbildung zum Fachinformatiker Systemintegration (m/w/d),10001-1001145493-S,"Austraße 133, 74321 Bietigheim-Bissingen, Baden-Württemberg",48.9498073,9.1364122,Zahner Net GmbH,2025-02-18,2025-09-01
Informatiker/in,IT-Sourcing Governance Experte/-in (w/m/d),10000-1201653610-S,"Zur Helling 5-6, 24143 Kiel, Schleswig-Holstein",54.313293,10.1368515,Investitionsbank Schleswig-Holstein,2025-02-18,2025-02-18
Informatiker/in,"SAP Application Manager/in für GP, ABAKUS, E-Akte und BDO (w/m/d)",10000-1201653529-S,"Zur Helling 5-6, 24143 Kiel, Schleswig-Holstein",54.313293,10.1368515,Investitionsbank Schleswig-Holstein,2025-02-18,2025-02-18
Embedded-Systems-Entwickler/in,Embedded Softwareingenieur BLDC-Motoren (m/w/d) - I11,10001-1001112584-S,"Wacholderweg 14, 90518 Altdorf bei Nürnberg, Bayern",49.405532090000065,11.352718991000074,ZSI technology GmbH,2025-02-18,2025-02-18
Bachelor Professional - Betriebsinformatik,IT-Projektmanager für digitale Transformation (m/w/d) - 3532,13230-132373-1554044-0-S,"Unknown, 00000 Stuttgart, Baden-Württemberg",48.774672,9.1745012,Expertalis GmbH,2025-02-18,2025-02-18
Fachinformatiker/in - Systemintegration,Fachinformatiker/in Teil-/Vollzeit,10000-1195718567-S,"Spinnenbergstr. 25a, 97320 Albertshofen, Kreis Kitzingen, Bayern",49.7661283,10.1606155,Höppertec GmbH,2025-02-18,2025-02-18
Informatiker/in,Working Student - Software Engineering - Modern C++ (m|f|d),14835-781537402-S,"Unknown, 00000 Unknown, Unkown",0.0,0.0,Miltenyi Biomedicine GmbH,2025-02-18,2025-04-01
Fachinformatiker/in - Systemintegration,Azubi (m/w/d) zum Fachinformatiker*in - Systemintegration,10001-1001158102-S,"Albrecht-Villinger-Str 11, 71332 Waiblingen, Rems, Baden-Württemberg",48.82900682200005,9.298172781000062,pirenjo.IT GmbH,2025-02-18,2025-09-01
Fachinformatiker/in - Systemintegration,IT-Spezialist*in Softwareverteilung (m/w/d),10001-1001156457-S,"Berliner Str. 100, 63065 Offenbach am Main, Hessen",50.1059309,8.7612127,Magistrat der Stadt Offenbach am Main,2025-02-18,2025-04-01
Informatiker/in,Senior Security Analyst (m/w/d),13243-14761206-JB-S,"Unknown, 75179 Pforzheim, Baden-Württemberg",48.8945026,8.6623119,net-select GmbH,2025-02-18,2025-02-18
Verwaltungsinformatiker/in,Abteilungsleitung (m/w/d),13243-RPT14771624-JB-S,"Unknown, 41747 Viersen, Nordrhein-Westfalen",51.2572291,6.3933945,Stadtverwaltung Viersen,2025-02-18,2025-02-18
Fachinformatiker/in - Systemintegration,Ausbildung Fachinformatiker - Fachrichtung Systemintegration (m/w/d),13243-14817714-JB-S,"Unknown, 01067 Dresden, Sachsen",51.0581628,13.7203962,"VKTA - Strahlenschutz, Analytik & Entsorgung Rossendorf e. V.",2025-02-18,2025-02-18
Fachinformatiker/in - Systemintegration,Ausbildungsplatz zum Fachinformatiker für Systemintegration,10001-1000487262-S,"Altperverstr. 1-5, 29410 Salzwedel, Hansestadt, Sachsen-Anhalt",52.8495628,11.1517903,bytehaus GmbH,2025-02-18,2025-08-01
Fachinformatiker/in - Systemintegration,Junior-Systemadministrator (m/w/d),10001-1000963533-S,"Wachauer Str. 30, 01454 Radeberg, Sachsen, Sachsen",51.10197,13.9134823,Epilepsiezentrum Kleinwachau gGmbH,2025-02-18,2025-02-18
Verwaltungsinformatiker/in,Business Analyst (m/w/d),10001-1001157785-S,"Schönbornstraße 10, 54295 Trier, Rheinland-Pfalz",49.7600947,6.6571434,Kassenärztliche Vereinigung Rheinland-Pfalz,2025-02-18,2025-02-18
Informationsmanager/in,Information Security Management System Coordinator (f/m/d),15170-386002453-S,"Unknown, 76187 Karlsruhe, Baden, Baden-Württemberg",49.03717489475395,8.340292029690392,Siemens Energy Global GmbH & Co. KG,2025-02-18,2025-02-19
Fachinformatiker/in - Systemintegration,Ausbildung zum Fachinformatiker für Systemintegration (m/w/d),10000-1200404780-S,"Lange Str. 6, 99734 Nordhausen, Thüringen, Thüringen",51.4931803,10.7920988,Maximator GmbH,2025-02-18,2025-08-01
Fachinformatiker/in - Systemintegration,Ausbildung zum Fachinformatiker für Systemintegration,10001-1001108234-S,"Zum Langenberg 1 - 3, 49377 Vechta, Niedersachsen",52.7016854,8.2799668,Diephaus Betonwerk GmbH,2025-02-18,2025-08-01
